AV Villas,ins_2ef80a64-f1de-423c-a7a0-841e5cc8fbfe,COL,ACH
Bancamía,ins_147fbec7-f608-4061-8c59-b6b309c9a18d,COL,ACH
Banco Agrario,ins_ab67ed86-c58a-406e-b49c-b424a83c9247,COL,ACH
Banco Caja Social,ins_23b043d2-56a5-4778-a8b1-c2f5e8af88a1,COL,ACH
Banco Compartir,ins_5c6705ac-104e-429d-b085-1030fb74b81c,COL,ACH
Banco Cooperativo Coopcentral,ins_95d15e2f-f9a1-44c6-8b0e-2d9ac833cd8e,COL,ACH
Banco Credifinanciera,ins_25b2ec0d-953b-430f-b2c0-4a026171a0b5,COL,ACH
Banco de Bogotá,ins_12b3d055-9601-4f5c-a5cd-f9feeb5119da,COL,DRUO
Banco de Occidente,ins_fa51b9bb-c9c8-4581-8c1d-95eed23fb07c,COL,ACH
Banco Falabella,ins_0425f690-b10e-45a8-b9b8-a05bb31847b6,COL,ACH
Banco Finandina,ins_f323fc72-b240-43ab-82bb-5a0b1b46587b,COL,ACH
Banco Pichincha,ins_9aec632a-2d30-4553-a575-0aaa9e863729,COL,ACH
Banco Popular,ins_5d5b7ce9-caa8-4cc8-be99-3fcff9d313c4,COL,ACH
Banco Serfinanza,ins_3cbe1b04-f16a-4a63-b66d-a8f6d4ee14af,COL,ACH
Banco W,ins_deb849ff-ba48-4801-825f-0e054bee2566,COL,ACH
Bancolombia,ins_e42460a8-c783-4bc3-8dcd-2e6fcab78b77,COL,DRUO
Bancoomeva,ins_f250caf1-de96-4a60-a9ff-863273f08205,COL,ACH
BBVA,ins_4fd895cd-c696-4b1a-b406-d4ae89408055,COL,DRUO
Citibank,ins_3f8856a5-e053-44ab-bbe7-96409615a78f,COL,ACH
Davivienda,ins_9082d56c-4e1d-4967-a828-b7001755e88e,COL,DRUO
GNB Sudameris,ins_3c58c6c6-09f7-4486-9829-f3ac97895dac,COL,ACH
Itaú,ins_4c07fe2a-aa75-425a-9814-f8e5d182fc72,COL,ACH
IRIS,ins_97666971-030f-469a-8f9a-4b804f91e04d,COL,ACH
Mono,ins_a70be729-90f1-4563-be74-db3774d69232,COL,ACH
Santander,ins_e1bbe286-1cd8-4a25-82f2-a7a570c2cb6f,COL,ACH
Scotiabank Colpatria,ins_1a2d8c6f-f81c-4967-9121-26877baf1396,COL,ACH
BBVA Perú,ins_2e2ca3a4-cbb3-4549-8e40-aa794c820399,PER,DRUO
Banco de Crédito del Perú,ins_e5e1139d-08a0-4c8b-ae34-6d3a509a3429,PER,ACH
Interbank,ins_02b382f0-cfa2-4eea-8c4f-dcf742ab2f71,PER,ACH
Citibank,ins_e5c230e7-6d17-48a8-8071-4916dd07ce9a,PER,ACH
Scotiabank,ins_aac8096b-77f1-4bcb-980e-411af89031f9,PER,ACH
Banco de Comercio,ins_79761cad-37ea-4e4c-8718-110f4ce8e528,PER,ACH
Banco Pichincha,ins_82880e52-5a9a-4a4b-8f96-f1d68a42442a,PER,ACH
Banco Interamericano de Finanzas,ins_37717aa6-9ae4-472c-accf-c100fc86d729,PER,ACH
Crediscotia Financiera,ins_e12faf56-2760-4e92-95bc-3bf3b9aa4598,PER,ACH
MiBanco,ins_2066d23d-7a91-43e9-a12c-c6204b761f5c,PER,ACH
Banco GNB Perú,ins_cee91782-c854-4aa0-ae6e-715d2503444a,PER,ACH
Banco Falabella Perú,ins_58a043d3-6c03-4ff9-ba7c-107142ab8085,PER,ACH
Banco Ripley,ins_915968c8-ab6c-4cb7-b6e1-5219fb81b806,PER,ACH
Banco Santander Perú,ins_fc3ac4a3-557d-41e7-9148-d234ed88f46e,PER,ACH
ICBC Perú Bank,ins_e7517c97-0b57-4a2f-abbb-8a465a03fd38,PER,ACH
Compartamos Financiera,ins_bff4571c-628d-499b-acc8-f42888d40506,PER,ACH
Caja Piura,ins_26e93e2f-28e0-486f-8539-33fe542443b3,PER,ACH
Caja Trujillo,ins_b740d009-f06b-4ae6-bf89-84c638438377,PER,ACH
Caja Arequipa,ins_5942442e-cdc5-4416-87fb-883fdc7ad345,PER,ACH
Caja Sullana,ins_b85ad85d-0adc-4d3a-8d28-a45d3c9fd448,PER,ACH
Caja Metropolitana,ins_90dc4f8a-1c2b-4c41-a283-9d1a8fb470ec,PER,ACH
Caja Cusco,ins_bf368c72-1f0f-43fa-b832-99f042718934,PER,ACH
Caja Huancayo,ins_a90b2fd8-8cb1-49c1-98f1-715c2446d310,PER,ACH
Cmac Ica,ins_7c6be169-a172-4e11-acad-d16e6c0da4dc,PER,ACH
Caja Maynas,ins_72dcbcd8-b2c3-4a68-861f-3a41b1942528,PER,ACH
Caja Tacna,ins_f0c0e4be-9245-4b23-91a2-8d7886d32357,PER,ACH
Chase,ins_15fed4a9-3839-463f-b38c-a7f73d421d35,USA,ACH
Wells Fargo,ins_cd9060e2-ddc5-4f98-9db7-6cd023304396,USA,ACH
Bank of America,ins_422246ca-9caf-4a8c-9282-a5b096f3af34,USA,ACH
Citi,ins_893b56d9-d381-4d26-aa0b-ce9678e84cd9,USA,ACH
Capital One,ins_9cac0eda-d248-4d0b-b158-3b875814298d,USA,ACH
Mercury,ins_65e520ba-7728-46b2-8e0b-af236490b091,USA,ACH
U.S. Bank,ins_ede4a882-c522-406a-b004-345d556ff971,USA,ACH
PNC,ins_2aefc067-2425-4a42-9e43-80eb94f3ee21,USA,ACH
Fifth Third,ins_6d1f9bfd-1c65-4892-bfba-035938292c22,USA,ACH
TD,ins_c688d457-508e-4399-9377-7319c69c65a3,USA,ACH
Bank of New York Mellon,ins_8e79fe1d-9b53-46d6-ace6-9a15c0c4b227,USA,ACH
Keycorp,ins_4213a7f9-bf5b-46d5-9b2f-a318fef1348b,USA,ACH
BMO Harris,ins_5f8752b5-26ae-4615-9091-19c4074cd094,USA,ACH
Regions,ins_51f3477f-afbe-4e6e-a0e6-5a426c7e8417,USA,ACH
Truist,ins_6c05c14f-a0ef-49ea-ad1e-d185b0f886ac,USA,ACH
First Premier,ins_d50975a5-8f38-4758-8ff3-277b3227a7ef,USA,ACH
First National,ins_e3f772de-657a-4b2f-8a18-01be5b4d4a9e,USA,ACH
Union Bank,ins_784a4c0d-fef0-4efb-b286-4fe0e7b84ec1,USA,ACH
Silicon Valley Bank,ins_30908a92-c9e3-4821-9223-94a74472900e,USA,ACH
Citizens,ins_e699b110-e97d-45c8-ad4f-dbdd4d40a59b,USA,ACH
Deutsche Bank,ins_f4db2178-5a07-413a-b5aa-7408802793ed,USA,ACH
Credit One Bank,ins_50f7ab2c-96ed-44b2-a35f-3cbe1582209c,USA,ACH
The Bancorp Bank,ins_88334cd7-787c-4ed4-be11-a92185690078,USA,ACH
Comerica,ins_f5089007-1843-40fb-95e7-3a735d8d1e55,USA,ACH
Northern Trust,ins_4af329e0-cbd5-4813-8a8c-d137489ff390,USA,ACH
MetaBank,ins_b282f471-3a80-47c2-80bf-b0daf750215d,USA,ACH
Zions Bank,ins_e006ff57-29f6-478c-90bf-e5781978a5ca,USA,ACH
BBVA,ins_e8e700c9-c713-4496-8eed-e1b42da7ca2f,USA,ACH
North American Banking Company,ins_d0532a05-722d-416e-a686-65fd62f82ee5,USA,ACH
M&T Bank,ins_e2659436-95b3-4cc9-b848-90a0b08e3821,USA,ACH
Huntington,ins_b49f2a7a-78e4-4ed5-b9aa-a03823131020,USA,ACH
USAA,ins_3601cf68-8df9-4edc-a151-dd0020d1bcdd,USA,ACH
UMB,ins_2cd2c049-9654-4e8e-a329-2c5805cc254b,USA,ACH
Optum Bank,ins_ad281b2d-6509-492c-9e07-7a5853be979c,USA,ACH
Merrick Bank,ins_a8e71e62-2f15-4349-ab6c-b5f64ca3bed9,USA,ACH
Goldman Sachs,ins_3b49ff1a-d78d-4a03-85c6-f1f87573accd,USA,ACH
People's,ins_fe5358f0-6528-418b-8e47-af28c494de21,USA,ACH
Atlantic Capital Bank,ins_46ed1e82-4d3a-4954-91f3-60e0628f008f,USA,ACH
First Horizon,ins_6ed8e2e1-5ab6-4077-b543-0382cb4ea4c4,USA,ACH
Synovus Financial Corp.,ins_9ae7b266-beb6-4db7-bc39-ffe75d694050,USA,ACH
State Street Corporation,ins_97788a73-5e07-4452-8932-e9ca3382d3cf,USA,ACH
First International Bank & Trust,ins_69fbd347-c1a1-4e20-abd8-79568b546394,USA,ACH
HSBC Bank USA,ins_9aea90c2-2299-48bf-875a-ff0c49ec9742,USA,ACH
"Commerce Bancshares, Inc",ins_443a71ee-463e-4e2e-812e-963d0d998436,USA,ACH
BOK Financial Corporation,ins_d7949b06-b84e-4b37-9290-4a3e95c04dd1,USA,ACH
Green Dot Corp,ins_968cbbf1-5c06-4aff-8fc7-fb6f110f5a17,USA,ACH
Veridian Credit Union,ins_5ace3920-d06d-4aa4-9a98-c89a70effd4f,USA,ACH
Central Bancompany,ins_9204b169-ed73-4bf4-a0c5-43d9a61f1195,USA,ACH
Berkshire Hills Bancorp,ins_f9999fd5-74c2-4ae4-964e-be004e7f6900,USA,ACH
Evolve Bancorp Inc.,ins_2e0e7eb1-7ef9-48cd-958a-c05f2e1b805e,USA,ACH
Centrabanc Corporation,ins_8ecb3db9-9976-4a91-a944-e626b4b2df8b,USA,ACH
Navy Federal Credit Union,ins_53716752-b64d-4c1c-a862-5f5a625fb4da,USA,ACH
Santander Bank N.A.,ins_509da38e-792f-400d-9009-e98c50fcd633,USA,ACH
State Employees Credit Union,ins_dc55e036-6d24-4a15-90e3-5aa8dcd8a9de,USA,ACH
TCF National Bancorp,ins_e159c57d-586b-4898-b8ea-f8f9f9fed30a,USA,ACH
BancWest Corporation,ins_075332c8-4c1d-4cd5-911a-1312ced10687,USA,ACH
Arvest Bank Group,ins_ca6c8676-fd9c-42a3-a68a-d585a10a18af,USA,ACH
Ally Financial Inc.,ins_743ea78b-d641-4fa3-8610-41ab59dd1e21,USA,ACH
Boeing Employees' Credit Union,ins_48e46470-cb1c-433d-a3ca-54f1c4e90065,USA,ACH
Associated Banc-Corp,ins_78e0fd78-6e2d-4f36-9e7d-d97382441104,USA,ACH
America First Credit Union,ins_445e1ad4-d7d2-45a9-8dfb-befbac165154,USA,ACH
The Golden 1 Credit Union,ins_004e570f-fe00-40be-b619-c3f99802eeba,USA,ACH
Woodforest Financial Group,ins_dd6b8087-ecb0-4fbb-83c4-56a968abba75,USA,ACH
"First Citizens Bancshares, Inc.",ins_f18f7ce5-5fb8-4a46-b2a3-8ab7ed680b1d,USA,ACH
SchoolsFirst Federal Credit Union,ins_80b2e068-44cc-4ad1-afde-4319d5fae121,USA,ACH
Charles Schwab Corp,ins_753d1be2-4505-4717-8bf0-3286bbdbd86c,USA,ACH
Hancock Whitney Corporation,ins_0746a20e-bad6-45ed-8df7-fb61dd20f224,USA,ACH
"BancorpSouth, Inc.",ins_86f613f1-cf12-4a1e-8442-8c499d74ff36,USA,ACH
"Cullen/Frost Bankers, Inc.",ins_87a379fc-b019-440a-bf2c-02bc6eae9bb6,USA,ACH
Suncoast Credit Union,ins_e6679037-b564-4554-9a77-ca038f677462,USA,ACH
